Timestamp,X,Y,Z
1776555156.4392807,1.5012843173259827,0.039190267776272276,0.2247130491669367
1776555156.7244031,1.5097795445683735,0.03941773031501959,0.2259817612840147
1776555156.9979663,1.5114197641240643,0.0394932179165719,0.22609246882567846
1776555157.272183,1.5079189008666276,0.03940113281837097,0.22557147456685106
1776555157.847861,1.5074186342822655,0.039387474813931685,0.22549833998759056
1776555158.425323,1.509419199203165,0.03944034636525179,0.2257954044066345
1776555158.9999633,1.5114197641240643,0.0394932179165719,0.22609246882567846
1776555159.5589368,1.5129906126925268,0.0395692053851694,0.22633833831470554
1776555160.1326592,1.5145614612609895,0.0396451928537669,0.22658420780373262
1776555160.6984425,1.51303058987176,0.03967364747062081,0.22635247304949166
1776555161.2665684,1.514542632153943,0.03973394594099254,0.22655787671732724
1776555161.8418305,1.5130117607647136,0.03973394594099254,0.22632614196308629
1776555162.4255664,1.5130117607647136,0.03973394594099254,0.22632614196308629
1776555162.9919796,1.514542632153943,0.039772475246406785,0.22655787671732724
1776555163.5476916,1.514542632153943,0.039776770005679196,0.22655787671732724
1776555164.0839252,1.5130251150984204,0.03977008455378276,0.22632614196308629
1776555164.662236,1.5120206763772188,0.039776770005679196,0.22619024142935876
1776555165.2329378,1.5120206763772188,0.03978149179708556,0.22619024142935876
1776555165.7928946,1.5115130728162374,0.03977747583286907,0.22611482219332377
1776555166.382294,1.5110321279787309,0.03977747583286907,0.22603093772627741
1776555166.925646,1.5110321279787309,0.03975913715433869,0.22593595673410188
1776555167.5503786,1.5120206763772188,0.03975913715433869,0.22593595673410188
1776555168.1956072,1.5145186259901293,0.03975913715433869,0.22593595673410188
1776555168.8396816,1.5145186259901293,0.03725208967966903,0.2241455357111049
1776555169.4445028,1.5352283364508241,0.0017650677730681984,0.20968866336879002
1776555170.0620856,1.5762563090282729,-0.033921868120689695,0.09899248355158836
1776555170.6732361,1.6036559575269278,-0.05170981996366636,-0.005703459244978481
1776555171.2958744,1.6110709102611307,-0.05170981996366636,-0.00957152229615084
1776555171.920809,1.6115300611490815,-0.05170981996366636,-0.00957152229615084
1776555172.5876982,1.6115300611490815,-0.05170981996366636,-0.00957152229615084
1776555173.2696211,1.6115300611490815,-0.05170981996366636,-0.02806299226226517
1776555173.9344492,1.6134208304007756,0.0001225519036946593,-0.05330366503785908
1776555174.547004,1.6115300611490815,-0.001841470165402835,-0.05330366503785908
1776555175.1254349,1.6091927944111437,-0.001841470165402835,-0.05330366503785908
1776555175.728045,1.605454633514303,-0.001841470165402835,-0.05330366503785908
1776555176.340948,1.605913784402254,-0.001841470165402835,-0.11492760298384874
1776555176.9635417,1.605913784402254,0.016310704758177856,-0.25425355587223114
1776555177.5584211,1.605913784402254,-0.0011258423227249563,-0.3265389919987006
1776555178.1796234,1.6067347355993,-0.021262562689487265,-0.3265389919987006
